#Year,Month,Port1,Port2,Route,$Value,$Real
2014,10,Gold Coast,Sydney,Gold Coast - Sydney,84,105.6697936
2018,1,Bundaberg,Brisbane,Bundaberg - Brisbane,256,304.8809947
2015,9,Geraldton,Perth,Geraldton - Perth,350,434.5833333
2021,2,Dubbo,Sydney,Dubbo - Sydney,334.08,379.9841221
2010,6,Brisbane,Emerald,Brisbane - Emerald,316,442.3340292
2018,2,Darwin,Melbourne,Darwin - Melbourne,378,450.1758437
2012,2,Adelaide,Melbourne,Adelaide - Melbourne,180,241.6216216
2021,9,Brisbane,Proserpine,Brisbane - Proserpine,195,218.4586466
2022,10,Ballina,Sydney,Ballina - Sydney,152,155.8348624
2010,12,Hobart,Melbourne,Hobart - Melbourne,124.9,172.849226
2022,10,Adelaide,Perth,Adelaide - Perth,598,613.087156
2023,4,Hobart,Sydney,Hobart - Sydney,238,238
2012,4,Karratha,Perth,Karratha - Perth,435,581.0109562
2022,6,Adelaide,Melbourne,Adelaide - Melbourne,116,123.3592387
2016,4,Sydney,Townsville,Sydney - Townsville,278,343.2762431
2021,8,Brisbane,Mount Isa,Brisbane - Mount Isa,664,743.8796992
2012,12,Melbourne,Newcastle,Melbourne - Newcastle,178,234.0176471
2015,12,Sydney,Wagga Wagga,Sydney - Wagga Wagga,195.89,242.3325554
2014,11,Kalgoorlie,Perth,Kalgoorlie - Perth,427.1,537.2805816
2022,11,Port Macquarie,Sydney,Port Macquarie - Sydney,308,315.7706422
2021,12,Broome,Perth,Broome - Perth,378,417.8878813
2014,12,Melbourne,Newcastle,Melbourne - Newcastle,178,223.9193246
2017,4,Paraburdoo,Perth,Paraburdoo - Perth,644,780.1300813
2022,1,Melbourne,Mildura,Melbourne - Mildura,297.19,321.6560048
2016,4,Brisbane,Canberra,Brisbane - Canberra,390,481.5745856
2023,1,Brisbane,Mount Isa,Brisbane - Mount Isa,748,756.4615385
2019,9,Kalgoorlie,Perth,Kalgoorlie - Perth,418,485.7348354
2018,3,Cairns,Sydney,Cairns - Sydney,234.9,279.7521314
2014,1,Melbourne,Perth,Melbourne - Perth,274.9,349.7541746
2010,5,Cairns,Melbourne,Cairns - Melbourne,479.9,671.7598121
2022,5,Adelaide,Canberra,Adelaide - Canberra,480.01,510.4626566
2020,10,Melbourne,Sydney,Melbourne - Sydney,186,212.8208191
2018,1,Brisbane,Newcastle,Brisbane - Newcastle,118,140.5310835
2022,10,Canberra,Melbourne,Canberra - Melbourne,241,247.0802752
2020,1,Adelaide,Gold Coast,Adelaide - Gold Coast,246,282.9210978
2021,9,Brisbane,Mackay,Brisbane - Mackay,195,218.4586466
2021,7,Brisbane,Newcastle,Brisbane - Newcastle,157,175.887218
2019,5,Brisbane,Canberra,Brisbane - Canberra,418,488.2735192
2017,12,Sunshine Coast,Sydney,Sunshine Coast - Sydney,238,284.7082962
2010,4,Melbourne,Newcastle,Melbourne - Newcastle,108,151.177453
2016,1,Sydney,Townsville,Sydney - Townsville,228,282.5767098
2017,11,Perth,Newman,Perth - Newman,630,753.6396075
2011,4,Brisbane,Proserpine,Brisbane - Proserpine,188,254.141129
2021,7,Brisbane,Mackay,Brisbane - Mackay,208,233.0225564
2020,1,Adelaide,Brisbane,Adelaide - Brisbane,268,308.2229846
2022,3,Perth,Port Hedland,Perth - Port Hedland,558.01,603.9478692
2021,4,Melbourne,Gold Coast,Melbourne - Gold Coast,130,146.7424242
2015,2,Melbourne,Perth,Melbourne - Perth,378,474.6235955
2021,12,Canberra,Melbourne,Canberra - Melbourne,228,252.059357
2021,11,Broome,Perth,Broome - Perth,378,417.8878813
2010,11,Perth,Port Hedland,Perth - Port Hedland,378,523.1145511
2013,1,Karratha,Perth,Karratha - Perth,468,612.8789063
2015,6,Sunshine Coast,Sydney,Sunshine Coast - Sydney,158,197.095814
2010,2,Ayers Rock,Cairns,Ayers Rock - Cairns,838,1180.418067
2016,11,Launceston,Sydney,Launceston - Sydney,218,265.7618182
2021,9,Perth,Sydney,Perth - Sydney,424.01,475.0187218
2015,3,Brisbane,Townsville,Brisbane - Townsville,208,261.1685393
2015,8,Hobart,Sydney,Hobart - Sydney,188,233.4333333
2022,1,Perth,Newman,Perth - Newman,638,690.5230024
2018,7,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,318,375.7162996
2012,5,Melbourne,Sydney,Melbourne - Sydney,79.9,106.7190239
2019,9,Devonport,Melbourne,Devonport - Melbourne,370,429.9566724
2010,3,Brisbane,Melbourne,Brisbane - Melbourne,228,321.1638655
2014,8,Adelaide,Perth,Adelaide - Perth,340,428.5150376
2023,5,Darwin,Sydney,Darwin - Sydney,643,643
2017,7,Avalon,Sydney,Avalon - Sydney,108,130.0071813
2016,9,Adelaide,Perth,Adelaide - Perth,438,536.8903108
2016,3,Cairns,Melbourne,Cairns - Melbourne,300,371.8114603
2016,9,Armidale,Sydney,Armidale - Sydney,247.62,303.5268921
2017,7,Cairns,Melbourne,Cairns - Melbourne,398,479.1005386
2022,4,Avalon,Gold Coast,Avalon - Gold Coast,118,125.4861221
2021,4,Cairns,Gold Coast,Cairns - Gold Coast,254,286.7121212
2015,12,Melbourne,Mildura,Melbourne - Mildura,250,309.2712177
2020,2,Adelaide,Gold Coast,Adelaide - Gold Coast,274,315.1234991
2022,6,Brisbane,Rockhampton,Brisbane - Rockhampton,322,342.4282316
2021,11,Darwin,Perth,Darwin - Perth,538.01,594.7826958
2014,10,Melbourne,Mildura,Melbourne - Mildura,238,299.3977486
2019,12,Cairns,Melbourne,Cairns - Melbourne,370,426.9965577
2016,5,Adelaide,Melbourne,Adelaide - Melbourne,104,128.4198895
2014,1,Adelaide,Sydney,Adelaide - Sydney,158,201.0227704
2010,1,Ballina,Sydney,Ballina - Sydney,148,208.4747899
2021,9,Brisbane,Townsville,Brisbane - Townsville,158,177.0075188
2013,2,Ballina,Sydney,Ballina - Sydney,138,180.7207031
2011,3,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,117.9,160.8381485
2018,5,Paraburdoo,Perth,Paraburdoo - Perth,1078,1279.290265
2019,11,Adelaide,Port Lincoln,Adelaide - Port Lincoln,256.85,296.4163941
2019,7,Sydney,Townsville,Sydney - Townsville,312,362.5580589
2011,1,Albury,Sydney,Albury - Sydney,153,208.7212614
2013,9,Sydney,Townsville,Sydney - Townsville,348,448.7192308
2019,5,Adelaide,Melbourne,Adelaide - Melbourne,105.9,123.7037456
2010,7,Melbourne,Perth,Melbourne - Perth,296,411.3326425
2012,8,Brisbane,Cairns,Brisbane - Cairns,220,289.8035363
2023,3,Sydney,Wagga Wagga,Sydney - Wagga Wagga,388,392.3891403
2013,5,Ayers Rock,Sydney,Ayers Rock - Sydney,553,721.3745136
2012,7,Canberra,Sydney,Canberra - Sydney,150,197.5933202
2017,8,Perth,Sydney,Perth - Sydney,258,310.572711
2014,1,Dubbo,Sydney,Dubbo - Sydney,286.79,364.8817742
2012,11,Adelaide,Gold Coast,Adelaide - Gold Coast,328,431.2235294
2018,12,Melbourne,Newcastle,Melbourne - Newcastle,223,262.0885188
2019,3,Brisbane,Townsville,Brisbane - Townsville,239,280.8930762
2016,5,Adelaide,Gold Coast,Adelaide - Gold Coast,228,281.5359116
2015,11,Hobart,Sydney,Hobart - Sydney,220,272.1586716
2010,3,Perth,Sydney,Perth - Sydney,478,673.3172269
2012,6,Adelaide,Melbourne,Adelaide - Melbourne,178,237.747012
2011,9,Launceston,Sydney,Launceston - Sydney,228,306.3607214
2018,11,Perth,Sydney,Perth - Sydney,469.9,552.2663453
2013,11,Newcastle,Gold Coast,Newcastle - Gold Coast,148,189.3778626
2010,12,Brisbane,Cairns,Brisbane - Cairns,298,412.4024768
2010,12,Darwin,Melbourne,Darwin - Melbourne,183.64,254.1395666
2015,6,Adelaide,Port Lincoln,Adelaide - Port Lincoln,235.29,293.5105953
2013,9,Launceston,Melbourne,Launceston - Melbourne,130,167.625
2021,4,Adelaide,Alice Springs,Adelaide - Alice Springs,359,405.2348485
2013,2,Brisbane,Hamilton Island,Brisbane - Hamilton Island,178,233.1035156
2018,1,Brisbane,Gladstone,Brisbane - Gladstone,278,331.0817052
2011,2,Gold Coast,Sydney,Gold Coast - Sydney,97.9,133.5543235
2018,2,Sydney,Wagga Wagga,Sydney - Wagga Wagga,315,375.1465364
2017,12,Hobart,Melbourne,Hobart - Melbourne,140,167.4754683
2023,2,Cairns,Sydney,Cairns - Sydney,419,423.739819
2011,11,Avalon,Brisbane,Avalon - Brisbane,224,300.9859719
2012,9,Adelaide,Sydney,Adelaide - Sydney,238,313.5147348
2023,1,Armidale,Sydney,Armidale - Sydney,358.01,362.0598869
2011,9,Sunshine Coast,Sydney,Sunshine Coast - Sydney,258,346.6713427
2023,3,Launceston,Melbourne,Launceston - Melbourne,204,206.3076923
2017,7,Adelaide,Alice Springs,Adelaide - Alice Springs,470,565.7719928
2021,8,Brisbane,Rockhampton,Brisbane - Rockhampton,274,306.962406
2013,1,Geraldton,Perth,Geraldton - Perth,277.72,363.6938672
2015,5,Brisbane,Gladstone,Brisbane - Gladstone,258,321.84
2013,3,Ballina,Sydney,Ballina - Sydney,138,180.7207031
2014,3,Brisbane,Moranbah,Brisbane - Moranbah,338,430.0360531
2011,1,Melbourne,Mildura,Melbourne - Mildura,154,210.0854527
2018,9,Brisbane,Hamilton Island,Brisbane - Hamilton Island,535,632.1013216
2017,7,Brisbane,Hamilton Island,Brisbane - Hamilton Island,654,787.2657092
2014,5,Cairns,Townsville,Cairns - Townsville,238,301.3767705
2018,9,Perth,Newman,Perth - Newman,638,753.7955947
2022,12,Brisbane,Rockhampton,Brisbane - Rockhampton,388,397.7889908
2020,2,Avalon,Sydney,Avalon - Sydney,110,126.509434
2023,2,Adelaide,Darwin,Adelaide - Darwin,450,455.0904977
2018,9,Perth,Port Hedland,Perth - Port Hedland,658,777.4255507
2022,9,Hobart,Sydney,Hobart - Sydney,469,489.8200935
2018,2,Melbourne,Gold Coast,Melbourne - Gold Coast,188,223.8969805
2019,10,Darwin,Perth,Darwin - Perth,609,702.813253
2017,2,Ayers Rock,Sydney,Ayers Rock - Sydney,414,502.4199095
2014,1,Hamilton Island,Sydney,Hamilton Island - Sydney,308,391.8671727
2016,2,Adelaide,Port Lincoln,Adelaide - Port Lincoln,209,259.0286506
2019,3,Sydney,Tamworth,Sydney - Tamworth,286,336.1314636
2015,5,Adelaide,Port Lincoln,Adelaide - Port Lincoln,235.29,293.5105953
2011,3,Devonport,Melbourne,Devonport - Melbourne,311,424.2634791
2022,6,Bundaberg,Brisbane,Bundaberg - Brisbane,368,391.3465504
2023,3,Canberra,Sydney,Canberra - Sydney,465,470.260181
2022,6,Launceston,Melbourne,Launceston - Melbourne,130,138.2474227
2014,10,Cairns,Townsville,Cairns - Townsville,240,301.9136961
2017,10,Hamilton Island,Sydney,Hamilton Island - Sydney,274,327.7734166
2012,11,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,324,425.9647059
2017,3,Adelaide,Melbourne,Adelaide - Melbourne,174,211.161991
2016,4,Melbourne,Gold Coast,Melbourne - Gold Coast,164,202.5082873
2021,12,Adelaide,Sydney,Adelaide - Sydney,228,252.059357
2014,7,Canberra,Sydney,Canberra - Sydney,229.99,289.8652162
2011,3,Gold Coast,Sydney,Gold Coast - Sydney,87.9,119.912411
2010,11,Ayers Rock,Sydney,Ayers Rock - Sydney,443,613.0681115
2017,10,Adelaide,Canberra,Adelaide - Canberra,478,571.809099
2010,10,Hobart,Melbourne,Hobart - Melbourne,77.9,107.8058824
2014,1,Brisbane,Darwin,Brisbane - Darwin,398,506.373814
2022,3,Melbourne,Newcastle,Melbourne - Newcastle,202,218.62954
2019,11,Paraburdoo,Perth,Paraburdoo - Perth,861,993.6325301
2014,5,Melbourne,Mildura,Melbourne - Mildura,250,316.572238
2020,3,Adelaide,Canberra,Adelaide - Canberra,548,630.2469983
2018,8,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,256,302.4634361
2018,4,Brisbane,Canberra,Brisbane - Canberra,482,572.0017699
2019,3,Sydney,Wagga Wagga,Sydney - Wagga Wagga,337.39,396.5293514
2018,9,Ballina,Sydney,Ballina - Sydney,134,158.3207048
2011,11,Brisbane,Emerald,Brisbane - Emerald,467,627.502004
2013,4,Brisbane,Mackay,Brisbane - Mackay,148,193.0622568
2019,12,Albury,Sydney,Albury - Sydney,348,401.6075731
2023,2,Adelaide,Perth,Adelaide - Perth,647,654.3190045
2013,12,Darwin,Melbourne,Darwin - Melbourne,408,522.0687023
2014,9,Ballina,Sydney,Ballina - Sydney,98,123.5131579
2011,11,Cairns,Townsville,Cairns - Townsville,164,220.3647295
2013,7,Darwin,Melbourne,Darwin - Melbourne,518,667.9211538
2011,8,Brisbane,Darwin,Brisbane - Darwin,378,507.9138277
2021,9,Melbourne,Perth,Melbourne - Perth,424.01,475.0187218
2021,9,Adelaide,Darwin,Adelaide - Darwin,308,345.0526316
2015,3,Brisbane,Cairns,Brisbane - Cairns,198,248.6123596
2022,12,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,402,412.1422018
2011,1,Newcastle,Gold Coast,Newcastle - Gold Coast,98,133.6907426
2014,8,Brisbane,Emerald,Brisbane - Emerald,230,289.8778195
2011,6,Gold Coast,Sydney,Gold Coast - Sydney,89.9,121.528125
2017,12,Brisbane,Darwin,Brisbane - Darwin,318,380.4085638
2012,6,Sydney,Townsville,Sydney - Townsville,378,504.8784861
2010,2,Brisbane,Townsville,Brisbane - Townsville,188,264.8193277
2020,12,Sydney,Tamworth,Sydney - Tamworth,294,336.394198
2012,9,Hobart,Sydney,Hobart - Sydney,168,221.3045187
2019,1,Brisbane,Cairns,Brisbane - Cairns,206,242.1086766
2015,5,Brisbane,Newcastle,Brisbane - Newcastle,184,229.5293023
2022,4,Brisbane,Newcastle,Brisbane - Newcastle,90,95.70975416
2014,3,Ayers Rock,Sydney,Ayers Rock - Sydney,628,799.0018975
2020,9,Sunshine Coast,Sydney,Sunshine Coast - Sydney,258,297.7435456
2013,7,Adelaide,Darwin,Adelaide - Darwin,618,796.8634615
2017,1,Brisbane,Proserpine,Brisbane - Proserpine,204,247.5692308
2022,5,Cairns,Sydney,Cairns - Sydney,232,246.7184774
2017,12,Brisbane,Gladstone,Brisbane - Gladstone,278,332.55843
2017,1,Adelaide,Perth,Adelaide - Perth,348,422.3239819
2014,9,Alice Springs,Sydney,Alice Springs - Sydney,857,1080.109962
2020,9,Hobart,Melbourne,Hobart - Melbourne,141,162.7203098
2014,7,Perth,Port Hedland,Perth - Port Hedland,590,743.5996241
2011,9,Avalon,Sydney,Avalon - Sydney,148,198.8657315
2012,4,Cairns,Melbourne,Cairns - Melbourne,189.9,253.6413347
2019,8,Brisbane,Perth,Brisbane - Perth,660,766.94974
2012,1,Adelaide,Brisbane,Adelaide - Brisbane,268,359.7477477
2013,11,Cairns,Sydney,Cairns - Sydney,269.9,345.3586832
2014,1,Brisbane,Mount Isa,Brisbane - Mount Isa,658,837.170778
2020,9,Brisbane,Proserpine,Brisbane - Proserpine,171,197.3416523
2018,5,Canberra,Melbourne,Canberra - Melbourne,169.9,201.6246903
2020,12,Darwin,Sydney,Darwin - Sydney,611,699.1049488
2019,12,Bundaberg,Brisbane,Bundaberg - Brisbane,282,325.4406196
2020,1,Bundaberg,Brisbane,Bundaberg - Brisbane,282,324.3241852
2010,10,Melbourne,Sydney,Melbourne - Sydney,77.9,107.8058824
2016,3,Melbourne,Gold Coast,Melbourne - Gold Coast,158,195.8207024
2022,5,Melbourne,Mildura,Melbourne - Mildura,317.09,337.2067328
2022,3,Brisbane,Hobart,Brisbane - Hobart,404,437.2590799
2011,3,Brisbane,Gladstone,Brisbane - Gladstone,188,256.4679552
2021,2,Brisbane,Emerald,Brisbane - Emerald,350,398.0916031
2012,6,Adelaide,Gold Coast,Adelaide - Gold Coast,518,691.8705179
2021,12,Darwin,Perth,Darwin - Perth,697.99,771.6443446
2023,5,Perth,Sydney,Perth - Sydney,420,420
2017,8,Melbourne,Perth,Melbourne - Perth,308,370.7612208
2020,7,Canberra,Sydney,Canberra - Sydney,321,370.4483649
2018,12,Adelaide,Darwin,Adelaide - Darwin,488,573.5390009
2018,2,Geraldton,Perth,Geraldton - Perth,378,450.1758437
2019,12,Sydney,Tamworth,Sydney - Tamworth,270,311.5920826
2022,2,Perth,Newman,Perth - Newman,638,690.5230024
2010,10,Ballina,Sydney,Ballina - Sydney,187,258.7894737
2010,8,Sydney,Tamworth,Sydney - Tamworth,204,283.4860104
2014,1,Darwin,Perth,Darwin - Perth,518,659.0493359
2012,11,Adelaide,Perth,Adelaide - Perth,368,483.8117647
2013,3,Cairns,Townsville,Cairns - Townsville,208,272.390625
2022,8,Brisbane,Proserpine,Brisbane - Proserpine,415,433.4228972
2021,5,Brisbane,Rockhampton,Brisbane - Rockhampton,274,309.2878788
2013,3,Cairns,Gold Coast,Cairns - Gold Coast,248,324.7734375
2010,9,Brisbane,Emerald,Brisbane - Emerald,328,455.8010363
2022,11,Adelaide,Alice Springs,Adelaide - Alice Springs,701,718.6857798
2019,4,Hobart,Melbourne,Hobart - Melbourne,225.9,263.8779617
2013,7,Brisbane,Emerald,Brisbane - Emerald,224,288.8307692
2014,2,Adelaide,Sydney,Adelaide - Sydney,158,201.0227704
2018,4,Gold Coast,Sydney,Gold Coast - Sydney,152,180.3823009
2019,5,Avalon,Sydney,Avalon - Sydney,140,163.5365854
2019,1,Melbourne,Mildura,Melbourne - Mildura,274.02,322.0515513
2014,11,Melbourne,Perth,Melbourne - Perth,298,374.8761726
2022,5,Bundaberg,Brisbane,Bundaberg - Brisbane,364,387.0927835
2023,2,Perth,Newman,Perth - Newman,810,819.1628959
2014,7,Brisbane,Townsville,Brisbane - Townsville,248,312.5639098
2012,6,Alice Springs,Melbourne,Alice Springs - Melbourne,570,761.3247012
2020,11,Karratha,Perth,Karratha - Perth,744,851.2832765
2010,11,Avalon,Brisbane,Avalon - Brisbane,178,246.3343653
2023,2,Sunshine Coast,Sydney,Sunshine Coast - Sydney,154,155.7420814
2016,12,Melbourne,Sydney,Melbourne - Sydney,358,436.4345455
2019,8,Dubbo,Sydney,Dubbo - Sydney,348.37,404.8216378
2012,11,Gold Coast,Sydney,Gold Coast - Sydney,79.9,105.045
2015,2,Port Macquarie,Sydney,Port Macquarie - Sydney,258,323.9494382
2021,9,Adelaide,Gold Coast,Adelaide - Gold Coast,377,422.3533835
2016,10,Darwin,Melbourne,Darwin - Melbourne,453,552.2481818
2017,10,Brisbane,Mackay,Brisbane - Mackay,158,189.0080285
2017,4,Brisbane,Darwin,Brisbane - Darwin,248,300.4227642
2012,5,Brisbane,Townsville,Brisbane - Townsville,238,317.8864542
2020,9,Darwin,Melbourne,Darwin - Melbourne,433,499.7013769
2010,2,Hobart,Sydney,Hobart - Sydney,208,292.9915966
2018,6,Devonport,Melbourne,Devonport - Melbourne,323,383.3123894
2011,5,Newcastle,Gold Coast,Newcastle - Gold Coast,208,281.1774194
2016,5,Brisbane,Melbourne,Brisbane - Melbourne,164,202.5082873
2010,8,Launceston,Sydney,Launceston - Sydney,178,247.3554404
2019,4,Perth,Sydney,Perth - Sydney,503.9,588.6148955
2014,4,Karratha,Perth,Karratha - Perth,590,747.1104816
2011,9,Darwin,Perth,Darwin - Perth,396,532.1002004
2010,9,Melbourne,Sydney,Melbourne - Sydney,87.9,122.1491192
2014,10,Brisbane,Proserpine,Brisbane - Proserpine,178,223.9193246
2016,4,Adelaide,Perth,Adelaide - Perth,348,429.7127072
2011,7,Adelaide,Port Lincoln,Adelaide - Port Lincoln,226.05,303.7405311
2011,7,Brisbane,Townsville,Brisbane - Townsville,228,306.3607214
2014,3,Broome,Perth,Broome - Perth,476,605.6129032
2022,5,Adelaide,Port Lincoln,Adelaide - Port Lincoln,287.58,305.8245678
2020,4,Melbourne,Mildura,Melbourne - Mildura,350,410.270979
2021,4,Launceston,Melbourne,Launceston - Melbourne,80,90.3030303
2015,12,Darwin,Perth,Darwin - Perth,618,764.5184502
2021,1,Brisbane,Townsville,Brisbane - Townsville,202,229.7557252
2019,9,Brisbane,Canberra,Brisbane - Canberra,265.9,308.9877816
2014,7,Adelaide,Sydney,Adelaide - Sydney,130,163.843985
2018,6,Gold Coast,Sydney,Gold Coast - Sydney,142.9,169.5830973
2015,5,Brisbane,Perth,Brisbane - Perth,598,745.9702326
2023,1,Perth,Port Hedland,Perth - Port Hedland,878,887.9321267
2013,5,Avalon,Brisbane,Avalon - Brisbane,208,271.3307393
2013,3,Newcastle,Gold Coast,Newcastle - Gold Coast,278,364.0605469
2017,8,Melbourne,Mildura,Melbourne - Mildura,243.01,292.5281957
2015,9,Alice Springs,Sydney,Alice Springs - Sydney,829,1029.341667
2013,7,Melbourne,Sydney,Melbourne - Sydney,214.9,277.0970192
2022,4,Brisbane,Townsville,Brisbane - Townsville,178,189.2926249
2020,11,Adelaide,Brisbane,Adelaide - Brisbane,364,416.4880546
2014,2,Melbourne,Newcastle,Melbourne - Newcastle,180,229.0132827
2014,2,Brisbane,Mackay,Brisbane - Mackay,148,188.2998102
2021,6,Brisbane,Proserpine,Brisbane - Proserpine,403,454.9015152
2021,3,Broome,Perth,Broome - Perth,570,648.3206107
2016,1,Brisbane,Perth,Brisbane - Perth,524,649.4306839
2021,12,Newcastle,Gold Coast,Newcastle - Gold Coast,143,158.0898599
2020,12,Brisbane,Gladstone,Brisbane - Gladstone,218,249.4351536
2015,1,Brisbane,Mackay,Brisbane - Mackay,158,198.3876404
2016,10,Cairns,Sydney,Cairns - Sydney,258,314.5254545
2018,6,Brisbane,Darwin,Brisbane - Darwin,589.9,700.049469
2013,7,Avalon,Brisbane,Avalon - Brisbane,248,319.7769231
2010,2,Canberra,Sydney,Canberra - Sydney,128,180.302521
2022,5,Gold Coast,Sydney,Gold Coast - Sydney,116,123.3592387
2012,3,Dubbo,Sydney,Dubbo - Sydney,242,324.8468468
2021,4,Darwin,Melbourne,Darwin - Melbourne,711,802.5681818
2015,10,Brisbane,Canberra,Brisbane - Canberra,379,468.8551661
2021,5,Hobart,Melbourne,Hobart - Melbourne,141,159.1590909
2010,7,Alice Springs,Darwin,Alice Springs - Darwin,867,1204.815544
2022,1,Adelaide,Port Lincoln,Adelaide - Port Lincoln,267.68,289.7166102
2023,3,Brisbane,Mount Isa,Brisbane - Mount Isa,838,847.479638
2017,7,Darwin,Perth,Darwin - Perth,740,890.7899461
2021,10,Brisbane,Mount Isa,Brisbane - Mount Isa,664,734.067601
2019,3,Adelaide,Brisbane,Adelaide - Brisbane,211.9,249.0428571
2021,8,Dubbo,Sydney,Dubbo - Sydney,387.72,434.3630075
2020,10,Armidale,Sydney,Armidale - Sydney,282.28,322.984198
2012,9,Karratha,Perth,Karratha - Perth,580,764.0275049
2015,4,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,334,416.6455814
2021,9,Melbourne,Newcastle,Melbourne - Newcastle,184,206.1353383
2023,8,Brisbane,Melbourne,Brisbane - Melbourne,258,258
2015,6,Adelaide,Gold Coast,Adelaide - Gold Coast,323,402.9237209
2015,10,Paraburdoo,Perth,Paraburdoo - Perth,638,789.2601476
2023,3,Brisbane,Emerald,Brisbane - Emerald,465,470.260181
2015,12,Ballina,Sydney,Ballina - Sydney,154,190.5110701
2014,9,Cairns,Melbourne,Cairns - Melbourne,278,350.3740602
2013,5,Sydney,Townsville,Sydney - Townsville,260,339.1634241
2018,3,Adelaide,Gold Coast,Adelaide - Gold Coast,368,438.2664298
2017,8,Devonport,Melbourne,Devonport - Melbourne,309,371.964991
2013,10,Brisbane,Cairns,Brisbane - Cairns,184,235.4427481
2014,8,Cairns,Townsville,Cairns - Townsville,238,299.9605263
2015,6,Coffs Harbour,Sydney,Coffs Harbour - Sydney,104,129.7339535
2019,9,Port Macquarie,Sydney,Port Macquarie - Sydney,309.01,359.0835442
2014,9,Brisbane,Mount Isa,Brisbane - Mount Isa,688,867.112782
2019,5,Brisbane,Emerald,Brisbane - Emerald,358,418.1864111
2014,10,Karratha,Perth,Karratha - Perth,610,767.3639775
2013,10,Cairns,Gold Coast,Cairns - Gold Coast,184,235.4427481
2020,2,Melbourne,Mildura,Melbourne - Mildura,290,333.5248714
2014,3,Brisbane,Sydney,Brisbane - Sydney,127.9,162.7266603
2022,3,Paraburdoo,Perth,Paraburdoo - Perth,706,764.1210654
2015,12,Hobart,Melbourne,Hobart - Melbourne,134,165.7693727
2015,11,Port Macquarie,Sydney,Port Macquarie - Sydney,230,284.5295203
2021,12,Melbourne,Sydney,Melbourne - Sydney,110,121.6075845
2012,12,Brisbane,Hamilton Island,Brisbane - Hamilton Island,528,694.1647059
2020,1,Ballina,Sydney,Ballina - Sydney,130,149.5111492
2015,3,Hobart,Melbourne,Hobart - Melbourne,114,143.1404494
2014,4,Hobart,Sydney,Hobart - Sydney,458,579.9603399
2014,7,Bundaberg,Brisbane,Bundaberg - Brisbane,260,327.6879699
2010,3,Bundaberg,Brisbane,Bundaberg - Brisbane,320,450.7563025
2010,3,Perth,Port Hedland,Perth - Port Hedland,358,504.2836134
2016,11,Darwin,Perth,Darwin - Perth,594,724.14
2016,12,Darwin,Perth,Darwin - Perth,668,814.3527273
2015,2,Brisbane,Newcastle,Brisbane - Newcastle,134,168.252809
2012,2,Geraldton,Perth,Geraldton - Perth,266.62,357.8953153
2021,8,Port Macquarie,Sydney,Port Macquarie - Sydney,334,374.1804511
2016,5,Sydney,Tamworth,Sydney - Tamworth,218,269.1878453
2011,3,Adelaide,Gold Coast,Adelaide - Gold Coast,318,433.8128179
2012,7,Brisbane,Canberra,Brisbane - Canberra,250,329.3222004
2022,10,Sunshine Coast,Sydney,Sunshine Coast - Sydney,157,160.9610092
2012,8,Brisbane,Townsville,Brisbane - Townsville,288,379.3791749
2020,9,Brisbane,Emerald,Brisbane - Emerald,414,477.7745267
2016,12,Ballina,Sydney,Ballina - Sydney,204,248.6945455
2015,12,Ayers Rock,Sydney,Ayers Rock - Sydney,398,492.3597786
2023,4,Broome,Perth,Broome - Perth,484,484
2015,1,Paraburdoo,Perth,Paraburdoo - Perth,618,775.9719101
2011,12,Adelaide,Darwin,Adelaide - Darwin,478,642.2825651
2022,10,Adelaide,Darwin,Adelaide - Darwin,385,394.7133028
2016,5,Armidale,Sydney,Armidale - Sydney,238.81,294.8841713
2010,7,Launceston,Sydney,Launceston - Sydney,168,233.4590674
2019,9,Dubbo,Sydney,Dubbo - Sydney,348.37,404.8216378
2023,8,Brisbane,Sydney,Brisbane - Sydney,154,154
2011,5,Melbourne,Mildura,Melbourne - Mildura,166,224.4012097
2015,11,Cairns,Townsville,Cairns - Townsville,250,309.2712177
2023,2,Brisbane,Mount Isa,Brisbane - Mount Isa,748,756.4615385
2017,2,Melbourne,Perth,Melbourne - Perth,348,422.3239819
2021,2,Brisbane,Gladstone,Brisbane - Gladstone,198,225.2061069
2020,7,Adelaide,Melbourne,Adelaide - Melbourne,134,154.6419966
2023,2,Brisbane,Proserpine,Brisbane - Proserpine,233,235.6357466
2020,2,Perth,Newman,Perth - Newman,658,756.7564322
2016,11,Brisbane,Melbourne,Brisbane - Melbourne,174,212.1218182
2016,5,Brisbane,Hobart,Brisbane - Hobart,368,454.4088398
2011,6,Alice Springs,Darwin,Alice Springs - Darwin,624,843.5322581
2022,4,Melbourne,Mildura,Melbourne - Mildura,317.09,337.2067328
2013,10,Brisbane,Mount Isa,Brisbane - Mount Isa,636,813.8129771
2018,5,Brisbane,Hobart,Brisbane - Hobart,334,396.3663717
2012,6,Broome,Perth,Broome - Perth,491.01,655.8211255
2014,12,Brisbane,Newcastle,Brisbane - Newcastle,128,161.0206379
2021,11,Adelaide,Canberra,Adelaide - Canberra,358.01,395.7884666
