#Year,Month,Port1,Port2,Route,$Value,$Real
2011,7,Avalon,Brisbane,Avalon - Brisbane,138,185.4288577
2016,8,Brisbane,Hamilton Island,Brisbane - Hamilton Island,270,330.9597806
2010,11,Brisbane,Mount Isa,Brisbane - Mount Isa,613,848.3312693
2011,5,Sunshine Coast,Sydney,Sunshine Coast - Sydney,79.9,108.0099798
2016,4,Sydney,Wagga Wagga,Sydney - Wagga Wagga,264.09,326.1000829
2017,3,Canberra,Sydney,Canberra - Sydney,270,327.6651584
2019,12,Brisbane,Darwin,Brisbane - Darwin,275,317.3623064
2010,3,Melbourne,Gold Coast,Melbourne - Gold Coast,186,262.0021008
2017,12,Newcastle,Gold Coast,Newcastle - Gold Coast,224,267.9607493
2013,5,Adelaide,Darwin,Adelaide - Darwin,498,649.6284047
2020,2,Canberra,Sydney,Canberra - Sydney,318.02,365.7502744
2011,6,Adelaide,Canberra,Adelaide - Canberra,324,437.9879032
2011,7,Brisbane,Hamilton Island,Brisbane - Hamilton Island,168,225.739479
2019,2,Perth,Newman,Perth - Newman,538,632.3032428
2011,1,Perth,Newman,Perth - Newman,378,515.664293
2018,7,Brisbane,Newcastle,Brisbane - Newcastle,134,158.3207048
2015,2,Perth,Sydney,Perth - Sydney,390,489.6910112
2022,2,Adelaide,Alice Springs,Adelaide - Alice Springs,398,430.7651332
2018,4,Cairns,Melbourne,Cairns - Melbourne,169.9,201.6246903
2022,6,Melbourne,Newcastle,Melbourne - Newcastle,203,215.8786677
2022,11,Avalon,Gold Coast,Avalon - Gold Coast,489,501.337156
2015,2,Ayers Rock,Sydney,Ayers Rock - Sydney,588,738.3033708
2010,12,Launceston,Sydney,Launceston - Sydney,218,301.6904025
2015,10,Brisbane,Emerald,Brisbane - Emerald,325,402.052583
2021,9,Melbourne,Gold Coast,Melbourne - Gold Coast,527,590.3984962
2017,7,Brisbane,Emerald,Brisbane - Emerald,341,410.4856373
2019,3,Sydney,Townsville,Sydney - Townsville,360,423.1025416
2013,7,Brisbane,Mount Isa,Brisbane - Mount Isa,578,745.2865385
2017,5,Sydney,Wagga Wagga,Sydney - Wagga Wagga,299.51,362.8210569
2016,2,Melbourne,Perth,Melbourne - Perth,340,421.3863216
2017,5,Cairns,Melbourne,Cairns - Melbourne,324,392.4878049
2022,12,Brisbane,Proserpine,Brisbane - Proserpine,484,496.2110092
2017,5,Albury,Sydney,Albury - Sydney,248,300.4227642
2010,11,Darwin,Melbourne,Darwin - Melbourne,197.9,273.8739938
2014,12,Newcastle,Gold Coast,Newcastle - Gold Coast,178,223.9193246
2020,1,Cairns,Sydney,Cairns - Sydney,346,397.9296741
2021,8,Sunshine Coast,Sydney,Sunshine Coast - Sydney,140.01,156.8533083
2016,12,Brisbane,Rockhampton,Brisbane - Rockhampton,222,270.6381818
2023,8,Hobart,Sydney,Hobart - Sydney,210,210
2014,7,Brisbane,Hamilton Island,Brisbane - Hamilton Island,310,390.7048872
2019,8,Brisbane,Canberra,Brisbane - Canberra,225.9,262.5059792
2010,4,Devonport,Melbourne,Devonport - Melbourne,198,277.1586639
2017,4,Adelaide,Canberra,Adelaide - Canberra,473,572.9837398
2021,1,Darwin,Perth,Darwin - Perth,763,867.8396947
2016,5,Gold Coast,Sydney,Gold Coast - Sydney,90,111.1325967
2011,10,Melbourne,Gold Coast,Melbourne - Gold Coast,139.95,188.0490481
2022,6,Broome,Perth,Broome - Perth,660,701.8715305
2018,3,Perth,Sydney,Perth - Sydney,519.9,619.1704263
2015,10,Canberra,Melbourne,Canberra - Melbourne,358,442.8763838
2015,12,Brisbane,Rockhampton,Brisbane - Rockhampton,231,285.7666052
2012,3,Karratha,Perth,Karratha - Perth,543,728.8918919
2022,6,Kalgoorlie,Perth,Kalgoorlie - Perth,424,450.8992863
2016,12,Darwin,Sydney,Darwin - Sydney,328,399.8618182
2015,1,Cairns,Townsville,Cairns - Townsville,250,313.9044944
2015,1,Darwin,Melbourne,Darwin - Melbourne,408,512.2921348
2022,6,Ballina,Sydney,Ballina - Sydney,91,96.77319588
2013,3,Alice Springs,Melbourne,Alice Springs - Melbourne,724,948.1289063
2021,1,Brisbane,Hobart,Brisbane - Hobart,295,335.5343511
2016,2,Brisbane,Mackay,Brisbane - Mackay,158,195.8207024
2023,5,Brisbane,Emerald,Brisbane - Emerald,512,512
2019,4,Karratha,Perth,Karratha - Perth,722,843.3815331
2014,9,Melbourne,Sydney,Melbourne - Sydney,98,123.5131579
2012,5,Brisbane,Mackay,Brisbane - Mackay,148,197.6772908
